순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
96,BMK000430263,굉장한 곤충들! : 꿈틀꿈틀 살아 움직이는 곤충들의 세계,키스 포크너 글 ; 스티븐 홈즈 그림 ; 정경희 옮김,미세기,MC 495.2-포828ㄱ,[남부]어린이열람실,6
97,BMK000434122,(이상한 과자 가게) 전천당. 13,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-13,[남부]어린이열람실,6
98,BMK000434062,"비밀요원 레너드. 9, 산타클로스는 정말 있을까?",박설연 글 ; 김덕영 그림,아울북,J 813.7-박53ㅂ-9,[남부]어린이열람실,6
99,BMK000432343,국어 천재가 된 철수와 영희의 고사성어 배틀,배은영 글 ; 김창호 그림,제제의숲,J 714-배68ㄱ,[남부]어린이열람실,6
100,BMK000433152,"메멘토 모리 : 너 두고 나 절대로 안 죽어 : 시대의 지성, 이병철 회장의 24가지 질문에 답하다",이어령 지음 ; 김태완 엮음,열림원,199.7-이63ㅁ,[남부]종합자료실,6
101,BMK000433023,마음의 법칙 : 사람의 마음을 사로잡는 51가지 심리학,"폴커 키츠,마누엘 투쉬 지음 ; 김희상 옮김",포레스트,189-키818ㅁ,[남부]종합자료실,6
102,BMK000433673,잿빛 극장,온다 리쿠 지음 ; 김은하 옮김,망고,833.6-온221ㅈ,[남부]종합자료실,6
103,BMK000433833,구해줘 카카오 프렌즈 과학. 4,장성규 지음,메가스터디북스,J 400-구92-4,[남부]어린이열람실,6
104,BMK000432468,"뼈뼈 사우루스. 10, '움푹움푹 동굴'의 비밀 대모험",암모나이트 글·그림 ; 김정화 옮김,미래엔 아이세움,J 833.6-암35ㅃ-10=2,[남부]어린이열람실,6
105,BMK000433892,(코믹 메이플스토리) 수학도둑 : 응용편. 86,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-86,[남부]어린이열람실,6
106,BMK000429094,흔한남매 흔한 MBTI : 믿거나 말거나 나에게 어울리는 직업,"흔한남매 원작 ; 김승자,정미화 [공]글 ; 투윙스 ; 유영근 [공]그림",대원키즈,J 321.5-흔91ㅎ=2,[남부]어린이열람실,6
107,BMK000434156,레 미제라블,빅토르 위고 원작 ; 오카다 요시에 편역 ; 스기 그림 ; 양수현 번역,은하수미디어,J 808.91-초228-40,[남부]어린이열람실,6
108,BMK000432501,"시간표 소년. 1, 내 성적에 전학생의 운명이?",글: 이치노세 미요 ; 그림: 에노키 노토 ; 번역: 황세정,서울문화사,J 833.8-이819ㅅ-1,[남부]어린이열람실,6
109,BMK000434109,연이와 버들 도령,백희나 [지음],책읽는곰,MC 813.7-백98ㅇ=2,[남부]어린이열람실,6
110,BMK000434200,(Who? Special) 조수미,김정욱 글 ; 껌딱지 그림,다산어린이,J 991.1-조57,[남부]어린이열람실,6
111,BMK000432323,"좀 더럽지만 꽤 재밌는 내 몸 도감. [1], 눈에 보이지 않는 것 편",나가미네 에이타로 글 ; 도게도게 그림 ; 박현미 옮김,책읽는곰,J 511-나11ㅈ-[2],[남부]어린이열람실,6
112,BMK000432300,비마이펫 멍냥연구소. 2,비마이펫 (원작)지음 ; 최진규 그림,서울문화사,J 527.386-비31ㅂ-2,[남부]어린이열람실,6
113,BMK000432499,시간을 파는 가게,이혜린 글 ; 시은경 그림,크레용하우스,J 813.7-이94ㅅ,[남부]어린이열람실,6
114,BMK000429066,"토깽이네 지구 구출 대작전. 2, 음식물 쓰레기에서 지구를 구하라",잼스토리 글 ; 양선모 그림 ; 토깽이네 원작,위즈덤하우스,J 539.9-잼58ㅌ-2,[남부]어린이열람실,6
115,BMK000433383,"인생 참, 꽃 같다 : 식물세밀화가 5인이 가꾼 예술정원","신소영,윤규희,박주경,이상숙,고순미 지음",티케,814.7-인52,[남부]종합자료실,6
116,BMK000434063,"비밀요원 레너드. 10, 도깨비를 찾아라!",박설연 글 ; 김덕영 그림,아울북,J 813.7-박53ㅂ-10,[남부]어린이열람실,6
117,BMK000434045,밍꼬발랄 코믹스. 12,김혜련 글 ; 라임스튜디오 그림,겜툰,J 813.7-김94ㅁ-12,[남부]어린이열람실,6
118,BMK000434042,밍꼬발랄 공소시효. 7,밍꼬발랄 원작 ; 백승하 글 ; 라임 스튜디오 그림,겜툰,J 813.7-밍15ㅁ-7,[남부]어린이열람실,6
119,BMK000434031,말이야와 친구들. 2,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-2,[남부]어린이열람실,6
120,BMK000432336,즐거운 종이접기 153,신구 후미아키,학산문화사,J 634.9-신17ㅈ,[남부]어린이열람실,6
121,BMK000429036,"(최고다!) 과학 호기심 딱지. 3, 호기심 뿜뿜 놀이공원",글: 방콕고양이 ; 그림: 윤현우,한국교육방송공사(EBS),J 404-방825ㄱ-3,[남부]어린이열람실,6
122,BMK000432175,"(처음 읽는) 그리스 로마 신화. 6, 괴물 이야기",최설희 글 ; 한현동 그림,Mirae N 아이세움,J 219.2-최53ㄱ-6,[남부]어린이열람실,6
123,BMK000432540,욕 천재의 비밀,성주희 글 ; 박현주 그림,마주별,J 813.7-성77ㅇ,[남부]어린이열람실,6
124,BMK000430622,"퀴즈! 과학상식. 69, 황당? 연산 수학",도기성 지음,글송이,J 408-과91-69=2,[남부]어린이열람실,6
125,BMK000430617,"퀴즈! 과학상식. 67, 황당? 도형 수학",도기성 지음,글송이,J 408-과91-67=2,[남부]어린이열람실,6
126,BMK000430606,"퀴즈! 과학상식. 26, 세계 최고·최초",차현진 지음,글송이,J 408-과91-26,[남부]어린이열람실,6
127,BMK000434142,키다리 아저씨,원작: 진 웹스터 ; 편역: 고마츠바라 히로코 ; 그림: 아시 지로 ; 번역: 양수현,은하수미디어,J 808.91-초228-10,[남부]어린이열람실,6
128,BMK000429015,집 안 치우기,고대영 글 ; 김영진 그림,길벗어린이,MC 813.8-고222ㅈ=5,[남부]어린이열람실,6
129,BMK000430494,이제 그냥 즐기려고요,김태균 지음,몽스북,818-김832ㅇ,[남부]종합자료실,6
130,BMK000430575,양순이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.7-김239ㅇ=2,[남부]어린이열람실,6
131,BMK000430688,연이와 버들 도령,백희나 [지음],책읽는곰,MC 813.7-백98ㅇ,[남부]어린이열람실,6
132,BMK000430577,(이상한 과자 가게) 전천당. 11,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-11=2,[남부]어린이열람실,6
133,BMK000430429,알프스 소녀 하이디,원작: 요한나 슈피리 ; 글·그림: 노이정,문공사,J 853-슈849ㅇ=2,[남부]어린이열람실,6
134,BMK000430432,플랜더스의 개,위다 원작 ; 라임스튜디오 글·그림,문공사,J 843-위221ㅍ=2,[남부]어린이열람실,6
